trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
440,False,"{'a': 0.25, 'e': 0.11080315836233387}",25,11,23.1722743072277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.25, 'e': 0.11025052530448522}",20,11,18.390308532849584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.25, 'e': 0.10970064851551141}",25,18,12.734695558957068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.25, 'e': 0.10915351424846406}",25,0,-25.868812122357323,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
444,False,"{'a': 0.25, 'e': 0.10860910882495796}",30,2,44.208524788370426,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.25, 'e': 0.10806741863482926}",20,10,15.694373156107604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.25, 'e': 0.10752843013579495}",30,0,4.6561145852714745,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
447,False,"{'a': 0.25, 'e': 0.10699212985311449}",20,9,18.97297402943535,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.25, 'e': 0.1064585043792528}",30,11,-1.1318394355274703,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
449,False,"{'a': 0.25, 'e': 0.10592754037354536}",25,17,5.832238944640948,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
450,False,"{'a': 0.25, 'e': 0.10539922456186433}",20,9,-24.35509923616888,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
451,False,"{'a': 0.25, 'e': 0.1048735437362869}",25,7,31.88682649501619,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.25, 'e': 0.104350484754765}",20,9,22.82305810758359,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.25, 'e': 0.10383003454079692}",35,21,12.386514545505953,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
454,False,"{'a': 0.25, 'e': 0.1033121800831002}",25,3,7.847023016818105,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
455,False,"{'a': 0.25, 'e': 0.1027969084352864}",25,20,10.633377245361576,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.25, 'e': 0.10228420671553744}",30,16,4.369832503664501,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
457,False,"{'a': 0.25, 'e': 0.10177406210628372}",25,8,34.50255395965973,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
